DEPLOYMENT_ID|RANK|DICE_NAME
1|1|Blue
1|2|Green
2|1|Blue
2|2|Green
3|1|Blue
3|2|Yellow
4|1|Blue
4|2|Yellow
5|1|Blue
5|2|Red
5|3|Yellow
6|1|Blue
6|2|Red
6|3|Yellow
7|1|Red
7|2|Yellow
8|1|Red
8|2|Yellow
9|1|Blue
9|2|Yellow
9|3|Yellow
10|1|Blue
10|2|Yellow
10|3|Yellow
11|1|Blue
11|2|Red
11|3|Red
12|1|Red
12|2|Red
12|3|Yellow
13|1|Undefine
13|2|Undefine
13|3|Undefine
14|1|Red
14|2|Green
14|3|Yellow
15|1|Blue
15|2|Green
16|1|Blue
16|2|Green
17|1|Red
17|2|Green
18|1|Red
18|2|Green
19|1|Undefine
19|2|Undefine
20|1|Blue
20|2|Yellow
21|1|Blue
21|2|Yellow
22|1|Red
22|2|Yellow
23|1|Red
23|2|Yellow
24|1|Red
24|2|Green
25|1|Blue
25|2|Red
25|3|Green
26|1|Red
26|2|Yellow
27|1|Blue
27|2|Green
28|1|Green
28|2|Green
29|1|Blue
29|2|Blue
30|1|Blue
30|2|Green
30|3|Yellow
31|1|Blue
31|2|Red
31|3|Yellow
32|1|Blue
32|2|Green
32|3|Green
33|1|Blue
33|2|Green
34|1|Blue
34|2|Green
35|1|Blue
35|2|Red
35|3|Yellow
36|1|Blue
36|2|Yellow
37|1|Blue
37|2|Blue
37|3|Yellow
38|1|Blue
38|2|Blue
38|3|Yellow
39|1|Red
39|2|Red
40|1|Red
40|2|Red
41|1|Green
41|2|Yellow
42|1|Blue
42|2|Red
43|1|Blue
43|2|Yellow
44|1|Blue
44|2|Green
45|1|Blue
45|2|Yellow
45|3|Yellow
46|1|Blue
46|2|Yellow
46|3|Yellow
47|1|Blue
47|2|Green
48|1|Blue
48|2|Green
49|1|Blue
49|2|Red
50|1|Blue
50|2|Red
51|1|Blue
51|2|Blue
51|3|Green
52|1|Red
52|2|Green
53|1|Red
53|2|Green
54|1|Blue
54|2|Green
54|3|Yellow
55|1|Blue
55|2|Red
55|3|Yellow
56|1|Green
56|2|Yellow
58|1|Yellow
59|1|Yellow
60|1|Red
60|2|Green
61|1|Red
61|2|Green
62|1|Green
62|2|Yellow
63|1|Green
63|2|Yellow
64|1|Green
64|2|Yellow
65|1|Green
65|2|Yellow
66|1|Blue
66|2|Red
67|1|Green
67|2|Yellow
67|3|Yellow
68|1|Green
68|2|Yellow
68|3|Yellow
69|1|Blue
69|2|Yellow
70|1|Blue
70|2|Yellow
71|1|Blue
71|2|Green
72|1|Blue
72|2|Green
73|1|Red
73|2|Green
74|1|Green
74|2|Yellow
75|1|Blue
75|2|Yellow
76|1|Green
76|2|Yellow
77|1|Red
77|2|Green
77|3|Yellow
78|1|Green
78|2|Green
79|1|Red
79|2|Green
79|3|Yellow
80|1|Red
80|2|Green
80|3|Yellow
