ITEM_ID|RANK|DICE_NAME
1|1|Green
1|2|Yellow
2|1|Blue
2|2|Green
3|1|Blue
3|2|Yellow
4|1|Green
4|2|Green
5|1|Green
5|2|Yellow
14|1|Blue
14|2|Green
15|1|Green
15|2|Green
15|3|Yellow
16|1|Blue
16|2|Red
17|1|Red
17|2|Green
18|1|Green
18|2|Yellow
25|1|Blue
25|2|Green
25|3|Yellow
26|1|Red
26|2|Red
27|1|Blue
27|2|Yellow
27|3|Yellow
28|1|Red
28|2|Yellow
28|3|Yellow
37|1|Blue
37|2|Red
38|1|Red
38|2|Yellow
39|1|Blue
39|2|Blue
40|1|Green
40|2|Green
42|1|Blue
42|2|Blue
42|3|Green
44|1|Green
44|2|Yellow
46|1|Green
46|2|Green
49|1|Blue
49|2|Red
51|1|Blue
51|2|Blue
51|3|Red
