NAME|MESSAGE_CODE
Brawler|trait.brawler
Creature|trait.creature
Droid|trait.droid
Force User|trait.force-user
Guardian|trait.guardian
Heavy Weapon|trait.heavy-weapon
Hunter|trait.hunter
Leader|trait.leader
Smuggler|trait.smuggler
Spy|trait.spy
Trooper|trait.trooper
Vehicle|trait.vehicle
Wookie|trait.wookie
Accessory|trait.accessory
Armor|trait.armor
Balance|trait.balance
Barrel|trait.barrel
Blade|trait.blade
Blaster|trait.blaster
Club|trait.club
Consumable|trait.consumable
Disruptor|trait.disruptor
Energy|trait.energy
Enhancement|trait.enhancement
Explosive|trait.explosive
Fist|trait.fist
Heavy|trait.heavy
Helmet|trait.helmet
Impact|trait.impact
Light|trait.light
Lightsaber|trait.lightsaber
Medical|trait.medical
Medium|trait.medium
Modification|trait.modification
Pistol|trait.pistol
Projectile|trait.projectile
Rifle|trait.rifle
Sights|trait.sights
Staff|trait.staff
